| end of epoch  62 | time:  2.25s | train_loss 0.0006 | valid rse 0.5819 | valid rae 0.6559 | valid corr  0.9176 | valid smape  0.1462 | focus_rrse 0.7533 | obj 0.7019
| end of epoch  63 | time:  2.24s | train_loss 0.0007 | valid rse 0.6525 | valid rae 0.7069 | valid corr  0.9169 | valid smape  0.1473 | focus_rrse 0.7019 | obj 0.6871
| end of epoch  64 | time:  2.27s | train_loss 0.0008 | valid rse 1.3042 | valid rae 1.3495 | valid corr  0.9180 | valid smape  0.1445 | focus_rrse 1.3191 | obj 1.3147
| end of epoch  65 | time:  2.22s | train_loss 0.0006 | valid rse 0.4692 | valid rae 0.5436 | valid corr  0.9126 | valid smape  0.1346 | focus_rrse 0.6175 | obj 0.5730
| end of epoch  66 | time:  2.20s | train_loss 0.0006 | valid rse 0.6906 | valid rae 0.7704 | valid corr  0.9191 | valid smape  0.1436 | focus_rrse 0.6922 | obj 0.6917
| end of epoch  67 | time:  2.22s | train_loss 0.0005 | valid rse 0.8213 | valid rae 0.8799 | valid corr  0.9096 | valid smape  0.1528 | focus_rrse 0.8263 | obj 0.8248
| end of epoch  68 | time:  2.28s | train_loss 0.0006 | valid rse 0.7577 | valid rae 0.8176 | valid corr  0.9150 | valid smape  0.1474 | focus_rrse 0.7605 | obj 0.7596
| end of epoch  69 | time:  2.23s | train_loss 0.0007 | valid rse 0.7808 | valid rae 0.8667 | valid corr  0.9189 | valid smape  0.1421 | focus_rrse 0.7827 | obj 0.7821
| end of epoch  70 | time:  2.29s | train_loss 0.0008 | valid rse 0.6308 | valid rae 0.7049 | valid corr  0.9132 | valid smape  0.1462 | focus_rrse 0.6634 | obj 0.6536
| end of epoch  71 | time:  2.25s | train_loss 0.0005 | valid rse 0.7395 | valid rae 0.8107 | valid corr  0.9141 | valid smape  0.1425 | focus_rrse 0.7422 | obj 0.7414
| end of epoch  72 | time:  2.20s | train_loss 0.0006 | valid rse 0.7621 | valid rae 0.8360 | valid corr  0.9163 | valid smape  0.1433 | focus_rrse 0.7651 | obj 0.7642
| end of epoch  73 | time:  2.21s | train_loss 0.0005 | valid rse 0.5580 | valid rae 0.6274 | valid corr  0.9174 | valid smape  0.1452 | focus_rrse 0.8068 | obj 0.7321
| end of epoch  74 | time:  2.25s | train_loss 0.0006 | valid rse 0.5067 | valid rae 0.6118 | valid corr  0.9166 | valid smape  0.1459 | focus_rrse 0.8055 | obj 0.7159
| end of epoch  75 | time:  2.23s | train_loss 0.0005 | valid rse 0.4789 | valid rae 0.5548 | valid corr  0.9135 | valid smape  0.1480 | focus_rrse 0.7090 | obj 0.6400
| end of epoch  76 | time:  2.24s | train_loss 0.0005 | valid rse 0.5272 | valid rae 0.5988 | valid corr  0.9137 | valid smape  0.1364 | focus_rrse 0.5987 | obj 0.5773
| end of epoch  77 | time:  2.27s | train_loss 0.0008 | valid rse 0.5393 | valid rae 0.6251 | valid corr  0.9163 | valid smape  0.1500 | focus_rrse 0.7400 | obj 0.6798
| end of epoch  78 | time:  2.23s | train_loss 0.0006 | valid rse 0.7303 | valid rae 0.8027 | valid corr  0.9180 | valid smape  0.1435 | focus_rrse 0.7326 | obj 0.7319
| end of epoch  79 | time:  2.30s | train_loss 0.0008 | valid rse 0.5439 | valid rae 0.6199 | valid corr  0.9200 | valid smape  0.1400 | focus_rrse 0.6869 | obj 0.6440
| end of epoch  80 | time:  2.29s | train_loss 0.0007 | valid rse 0.5610 | valid rae 0.6258 | valid corr  0.9202 | valid smape  0.1459 | focus_rrse 0.7289 | obj 0.6785
| end of epoch  81 | time:  2.29s | train_loss 0.0007 | valid rse 0.7934 | valid rae 0.8718 | valid corr  0.9161 | valid smape  0.1450 | focus_rrse 0.7958 | obj 0.7951
| end of epoch  82 | time:  2.29s | train_loss 0.0005 | valid rse 0.5849 | valid rae 0.6649 | valid corr  0.9164 | valid smape  0.1489 | focus_rrse 0.7051 | obj 0.6690
| end of epoch  83 | time:  2.37s | train_loss 0.0005 | valid rse 0.4919 | valid rae 0.5279 | valid corr  0.9105 | valid smape  0.1432 | focus_rrse 0.6565 | obj 0.6071
| end of epoch  84 | time:  2.34s | train_loss 0.0009 | valid rse 0.6477 | valid rae 0.7187 | valid corr  0.9191 | valid smape  0.1445 | focus_rrse 0.8195 | obj 0.7680
| end of epoch  85 | time:  2.34s | train_loss 0.0006 | valid rse 0.8078 | valid rae 0.8752 | valid corr  0.9180 | valid smape  0.1389 | focus_rrse 0.8109 | obj 0.8100
| end of epoch  86 | time:  2.22s | train_loss 0.0006 | valid rse 0.4483 | valid rae 0.5170 | valid corr  0.9151 | valid smape  0.1484 | focus_rrse 0.7515 | obj 0.6605
| end of epoch  87 | time:  2.21s | train_loss 0.0004 | valid rse 0.6855 | valid rae 0.7467 | valid corr  0.9177 | valid smape  0.1429 | focus_rrse 0.6874 | obj 0.6868
| end of epoch  88 | time:  2.24s | train_loss 0.0005 | valid rse 0.6322 | valid rae 0.7052 | valid corr  0.9185 | valid smape  0.1442 | focus_rrse 0.6950 | obj 0.6762
| end of epoch  89 | time:  2.25s | train_loss 0.0005 | valid rse 0.7133 | valid rae 0.7834 | valid corr  0.9192 | valid smape  0.1395 | focus_rrse 0.7138 | obj 0.7137
| end of epoch  90 | time:  2.24s | train_loss 0.0004 | valid rse 0.5696 | valid rae 0.6512 | valid corr  0.9169 | valid smape  0.1411 | focus_rrse 0.6970 | obj 0.6588
| end of epoch  91 | time:  2.25s | train_loss 0.0004 | valid rse 0.5685 | valid rae 0.6444 | valid corr  0.9167 | valid smape  0.1438 | focus_rrse 0.7017 | obj 0.6617
| end of epoch  92 | time:  2.28s | train_loss 0.0005 | valid rse 0.6748 | valid rae 0.7464 | valid corr  0.9142 | valid smape  0.1389 | focus_rrse 0.6754 | obj 0.6752
| end of epoch  93 | time:  2.28s | train_loss 0.0005 | valid rse 0.6392 | valid rae 0.7277 | valid corr  0.9187 | valid smape  0.1429 | focus_rrse 0.7318 | obj 0.7040
| end of epoch  94 | time:  2.25s | train_loss 0.0003 | valid rse 0.6167 | valid rae 0.6880 | valid corr  0.9150 | valid smape  0.1419 | focus_rrse 0.6309 | obj 0.6266
| end of epoch  95 | time:  2.26s | train_loss 0.0006 | valid rse 0.7086 | valid rae 0.7829 | valid corr  0.9187 | valid smape  0.1452 | focus_rrse 0.7190 | obj 0.7159
